CP014946.1	PAMC 27889: pPAMC27889
CP049903.1	WY6: unnamed1
CP006268.1	G: PsyG_3
CP006267.1	G: PsyG_4
CP006266.1	G: PsyG_26
CP060391.1	KCTC 72983: pPsychbacter006
MN657079.1	ANT_H3: pA3H1
MN657082.1	ANT_H3: pA3H2
MN657083.1	ANT_H3: pA3H3
MN657084.1	ANT_H3: pA3H4
MN657085.1	ANT_H3: pA3H5
MN657086.1	ANT_H3: pA3H6
MN657087.1	ANT_H3: pA3H7
MN657088.1	ANT_H3: pA3H8
MN657089.1	ANT_H3: pA3H9
MN657080.1	ANT_H3: pA3H10
MN657081.1	ANT_H3: pA3H11
CP012707.1	R10.10B: 1
CP012708.1	R10.10B: 2
CP012709.1	R10.10B: 3
CP012710.1	R10.10B: 4
CP012711.1	R10.10B: 5
CM009109.1	4Bb: unnamed1
CM009110.1	4Bb: unnamed2
CM009111.1	4Bb: unnamed3
CM009112.1	4Bb: unnamed4
CM009113.1	4Bb: unnamed5
CM009114.1	4Bb: unnamed6
CM009115.1	4Dc: unnamed1
CM009116.1	4Dc: unnamed2
CM009117.1	4Dc: unnamed3
CP000324.1	K5: 1
CP022042.2	FDAARGOS_308: unnamed1
JQ245700.1	DAB_AL43B: pP43BP1
JQ245701.1	DAB_AL43B: pP43BP2
JQ348845.1	DAB_AL43B: pP43BP3
JQ348844.1	DAB_AL43B: pP43BP4
CM003595.1	P11F6: pPspP11F6a
CM003597.1	P11G3: pPspP11G3a
CM003598.1	P11G3: pPspP11G3b
CM003599.1	P11G3: pPspP11G3c
CM003600.1	P11G3: pPspP11G3d
CP012534.1	P11G5: pPspP11G5a
CP012535.1	P11G5: pPspP11G5b
CP012536.1	P11G5: pPspP11G5c
CP012537.1	P11G5: pPspP11G5d
CP012538.1	P11G5: pPspP11G5e
CP012539.1	P11G5: pPspP11G5f
CP012540.1	P11G5: pPspP11G5g
CP012530.1	P2G3: pPspP2G3a
CP012531.1	P2G3: pPspP2G3b
CP012532.1	P2G3: pPspP2G3c
CP029790.1	YP14: pYP14a
CP029791.1	YP14: pYP14b
CP029792.1	YP14: pYP14c
CP029793.1	YP14: pYP14d
CM009118.1	Choline-02u-13: unnamed1
CM009119.1	Choline-02u-13: unnamed2
CM009120.1	Choline-02u-9: unnamed1
CM009121.1	Choline-02u-9: unnamed2
CM009132.1	MES7-P7E: unnamed1
PJBU01000018.1	MES7-P7E: unnamed2 contig67
PJBU01000022.1	MES7-P7E: unnamed2 contig71
CM009133.1	MES7-P7E: unnamed3
CM009134.1	MES7-P7E: unnamed4
CM009135.1	MES7-P7E: unnamed5
CM009136.1	Sarcosine-02u-2: unnamed1
CM009137.1	Sarcosine-02u-2: unnamed2
CM009138.1	Sarcosine-02u-2: unnamed3
CM009139.1	Sarcosine-02u-2: unnamed4
CM009140.1	Sarcosine-02u-2: unnamed5
CM009141.1	Sarcosine-02u-2: unnamed6
NEXR01000016.1	L7: unnamed Contig_47
NEXR01000017.1	L7: unnamed Contig_48
NEXR01000018.1	L7: unnamed Contig_51
NEXR01000020.1	L7: unnamed Contig_188
JAJQQX010000003.1	FDAARGOS_1624: unnamed
CP100399.1	PraFG1: pPSYFG1
JAJFON010000003.1	FDAARGOS_1568: unnamed1
JAJFON010000004.1	FDAARGOS_1568: unnamed2
CP085991.1	FDAARGOS_1598: unnamed1
CP085992.1	FDAARGOS_1598: unnamed2
CP085993.1	FDAARGOS_1598: unnamed3
